,Date,Open,High,Low,Close,Adj Close,Volume
209,1996-10-18,6.788888,6.821111,6.7,6.726666,4.413779,193662000.0
210,1996-10-21,6.726666,6.726666,6.726666,6.726666,4.413779,0.0
211,1996-10-22,6.755555,6.933333,6.734444,6.825555,4.478666,220347000.0
212,1996-10-23,6.977777,7.153333,6.977777,7.106666,4.66312,156865500.0
213,1996-10-24,7.155555,7.176666,6.873333,6.922222,4.542095,152622000.0
214,1996-10-25,6.892222,6.997777,6.878888,6.971111,4.574174,83529000.0
215,1996-10-28,7.033333,7.133333,7.011111,7.044444,4.622293,128443500.0
216,1996-10-29,7.044444,7.311111,7.016666,7.182222,4.712698,214974000.0
217,1996-10-30,7.182222,7.182222,7.182222,7.182222,4.712698,0.0
218,1996-10-31,6.834444,6.834444,6.466666,6.691111,4.39045,385960500.0
219,1996-11-01,6.651111,6.811111,6.613333,6.676666,4.380971,358177500.0
220,1996-11-04,6.605555,6.605555,6.411111,6.461111,4.239532,290061000.0
221,1996-11-05,6.423333,6.518888,6.008888,6.105555,4.006231,452736000.0
222,1996-11-06,5.888888,5.894444,5.678888,5.678888,3.726268,219811500.0
223,1996-11-07,5.341111,5.566666,5.29,5.515555,3.619095,437089500.0
224,1996-11-08,5.57,5.727777,5.545555,5.701111,3.74085,291564000.0
225,1996-11-11,5.622222,6.02,5.556666,5.746666,3.770741,288495000.0
226,1996-11-12,5.746666,5.746666,5.746666,5.746666,3.770741,0.0
227,1996-11-13,5.753333,6.022222,5.692222,5.976666,3.921658,355684500.0
228,1996-11-14,5.965555,6.018888,5.801111,5.835555,3.829067,359842500.0
229,1996-11-15,5.833333,5.922222,5.744444,5.892222,3.86625,280755000.0
230,1996-11-18,5.911111,6.305555,5.81,6.293333,4.129443,583254000.0
231,1996-11-19,6.3,6.666666,6.204444,6.352222,4.168084,574497000.0
232,1996-11-20,6.27,6.31,6.014444,6.038888,3.962486,459504000.0
233,1996-11-21,6.067777,6.196666,6.018888,6.105555,4.006231,475204500.0
234,1996-11-22,6.087777,6.151111,6.055555,6.091111,3.996752,313681500.0
235,1996-11-25,6.072222,6.222222,5.827777,6.087777,3.994565,411858000.0
236,1996-11-26,6.222222,6.511111,6.111111,6.358888,4.172458,556713000.0
237,1996-11-27,6.114444,6.131111,5.958888,6.057777,3.97488,239976000.0
238,1996-11-28,6.071111,6.157777,6.066666,6.106666,4.00696,165361500.0
239,1996-11-29,6.111111,6.187777,6.1,6.112222,4.010605,115047000.0
240,1996-12-02,6.122222,6.288888,6.111111,6.185555,4.058722,166797000.0
241,1996-12-03,6.177777,6.226666,5.911111,6.035555,3.960299,264496500.0
242,1996-12-04,5.83,5.866666,5.657777,5.835555,3.829067,214218000.0
243,1996-12-05,5.801111,6.0,5.756666,5.956666,3.908535,217219500.0
244,1996-12-06,6.0,6.12,5.798888,6.054444,3.972694,236835000.0
245,1996-12-09,6.1,6.197777,6.063333,6.121111,4.016438,201159000.0
246,1996-12-10,6.108888,6.444444,6.0,6.085555,3.993107,255582000.0
247,1996-12-11,6.131111,6.375555,6.045555,6.343333,4.162251,231367500.0
248,1996-12-12,6.374444,6.416666,6.253333,6.274444,4.117049,249822000.0
